,0
0,0.20120592
1,0.21477135
2,0.18068038
3,0.22171602
4,0.15179415
5,0.14312772
6,0.19993387
7,0.21415472
8,0.18966946
9,0.13920033
10,0.1521418
11,0.12527335
12,0.52337384
13,0.33378613
14,0.4259027
15,0.3921112
16,0.37441614
17,0.41002038
18,0.4684363
19,0.41464198
20,0.38713902
21,0.4396188
22,0.18656231
23,0.4309846
24,0.16353366
25,0.17431739
26,0.17647591
27,0.18553093
28,0.2033276
29,0.21627744
30,0.19087781
31,0.37742075
32,0.19123557
33,0.22049285
34,0.21122889
35,0.19198978
36,0.18766862
37,0.23590082
38,0.2491974
39,0.19464782
40,0.2280556
41,0.22555347
42,0.24065827
43,0.2465111
44,0.21742684
45,0.24384639
46,0.22184427
47,0.20152298
48,0.23335716
49,0.2025946
50,0.23060176
51,0.20739914
52,0.2001565
53,0.19510801
54,0.20262362
55,0.17206773
56,0.21545355
57,0.1864901
58,0.22464335
59,0.1886031
60,0.20115037
61,0.19734019
62,0.20595483
63,0.19601896
64,0.16185287
65,0.17654714
66,0.24097946
67,0.17825358
68,0.22584109
69,0.19729216
70,0.16386189
71,0.18674235
72,0.2099467
73,0.23499706
74,0.20217972
75,0.17659351
76,0.17065215
77,0.20228457
78,0.23020725
79,0.22412336
80,0.19986524
81,0.19924827
82,0.23504336
83,0.1993595
84,0.22339185
85,0.24169229
86,0.2048633
87,0.2022216
88,0.24491589
89,0.24055879
90,0.21559814
91,0.23781157
92,0.2844247
93,0.28398883
94,0.28948808
95,0.25001785
96,0.25101328
97,0.26115608
98,0.23496026
99,0.2440763
100,0.2155235
101,0.2799431
102,0.26640758
103,0.21592395
104,0.31792644
105,0.25456196
106,0.22216639
107,0.1601244
108,0.2050199
109,0.19162665
110,0.16785423
111,0.18634242
112,0.21999316
113,0.21696599
114,0.20713846
115,0.15917616
116,0.20900117
117,0.20249292
118,0.238496
119,0.26385328
120,0.36486822
121,0.28412884
122,0.28108633
123,0.30104908
124,0.31890947
125,0.27244142
126,0.29474038
127,0.24189508
128,0.34107327
129,0.23691861
130,0.28155628
131,0.18229982
132,0.295387
133,0.26289302
134,0.25383365
135,0.30843353
136,0.28947437
137,0.28475833
138,0.2577337
139,0.26692212
140,0.26819927
141,0.27419046
142,0.21681437
143,0.30788776
144,0.22463015
145,0.19235356
146,0.19376503
147,0.22941081
148,0.1996453
149,0.22616203
150,0.22318289
151,0.25324655
152,0.18457465
153,0.1668348
154,0.2083445
155,0.23204559
156,0.19516596
157,0.18336444
158,0.221612
159,0.16459954
160,0.20821272
161,0.16167618
162,0.16211231
163,0.2171134
164,0.21808328
165,0.22927018
166,0.25145516
167,0.23022753
168,0.21563265
169,0.2205626
170,0.19578436
171,0.23324369
172,0.2209084
173,0.21130005
174,0.28599834
175,0.23948213
176,0.3436359
177,0.28983724
178,0.2697702
179,0.23420048
180,0.2735289
181,0.21820487
182,0.22412305
183,0.22334838
184,0.20195445
185,0.14905964
186,0.19860059
187,0.16940862
188,0.19131196
189,0.21237853
190,0.21648857
191,0.16984686
192,0.17940694
193,0.3101487
194,0.41627833
195,0.43621394
196,0.35327345
197,0.4257256
198,0.3583986
199,0.52794886
200,0.3488526
201,0.3023047
202,0.5229507
203,0.4466333
204,0.6665756
205,0.6771333
206,0.70080423
207,0.67876625
208,0.6684081
209,0.5288688
210,0.66005
211,0.61000913
212,0.57805145
213,0.3564113
214,0.19545925
215,0.16106594
216,0.24062926
217,0.23163283
218,0.19800274
219,0.17657335
220,0.26477608
221,0.18396546
222,0.19477989
223,0.17002754
224,0.19086392
225,0.262292
226,0.19035088
